ORF	REF0	REF5	REF10	REF30	REF60	REF120	MUT0	MUT5	MUT10	MUT30	MUT60	MUT120
YLR309C	8.003303748	7.929373935	7.958778784	7.445993147	8.20704253	8.012293961	8.537587272	8.319394361	7.910342031	8.246205043	8.815305877	8.533025291
YLR310C	5.637585897	5.808216434	5.665568457	5.37108643	5.652579893	5.64095207	6.025628612	6.181180439	5.554297293	5.476469631	5.772886319	5.940442081
YLR312C	8.830132297	8.535591379	7.531149538	3.234422459	2.670955301	2.644605576	9.211401677	8.872885526	5.567905568	4.498058164	2.778403978	4.168898362
YLR313C	5.749156082	5.153318285	5.071365424	4.404505013	4.777473285	5.498661087	5.735416634	5.237193021	5.024554043	4.174861367	5.250829113	6.322155175
YLR314C	7.100381854	6.909997224	6.599519583	6.315748426	7.22565206	6.968823997	6.701032616	6.451412903	5.789067804	5.30621355	7.157388713	7.572205539
YLR315W	6.424082352	5.629396603	5.471798104	4.770107966	6.024143209	6.524827883	5.129136659	5.673617017	5.545644376	4.081087977	4.966133433	6.745285231
YLR316C	6.203526848	6.80718775	7.714028463	8.441687271	8.136194531	7.482770071	7.079301122	7.037699024	7.644528349	7.664092891	8.403068724	7.677460071
YLR274W	7.439214135	7.294844183	7.207834087	7.553362636	7.759505057	7.932930413	7.583744111	7.030007928	5.783746257	5.812748272	7.681781452	7.516974234
YLR275W	5.108255863	5.33313802	5.996333877	6.544077237	6.42991198	6.175392233	5.903976122	5.595153086	5.943935216	6.285933003	7.522202429	6.871177799
YLR276C	7.74454082	7.866269992	9.342314586	10.04219555	9.642568536	8.490639718	7.68346439	6.967142875	7.028202279	7.46179001	8.554527926	7.798052525
YLR277C	7.425019981	7.127890568	7.585441767	7.34473942	8.017743557	7.921229547	7.87648982	7.526010364	7.142451925	7.80194442	8.308338038	8.178759575
YLR278C	6.567733395	6.767611839	7.529430354	7.565983499	6.866543754	6.586806743	6.698448792	6.685789678	5.766375926	6.198089737	6.839903176	6.156299484
YLR281C	6.717728549	5.218154335	4.264680527	3.632858916	3.744780814	5.086034687	3.575900822	3.575911341	3.890135005	3.106182943	2.780591	4.142350706
YLR283W	5.606501812	5.570007164	4.67884802	3.772589146	3.714215515	5.076877718	6.052041157	5.445796614	4.350768335	4.473519763	4.675174079	5.444018083
YLR284C	9.132695354	8.876072102	7.701720754	4.248903142	4.211709961	5.063216612	9.509820326	9.508684914	6.338145679	6.199300126	4.595898472	5.356808835
YLR285W	6.792693795	6.773741808	7.000069436	7.284917797	7.74637191	7.693428639	7.566447272	6.997517671	6.927336704	6.543898206	8.349617117	8.006614502
YLR286C	12.04286001	12.1499315	12.45674994	12.17318826	11.56880007	12.39473365	12.60798651	12.75819756	12.80590904	12.58003953	12.84768733	13.15359523
YLR287C	4.626891581	4.894133686	6.352928796	5.881038079	5.417928222	5.220240158	5.116061471	4.620049544	4.691587021	4.67774612	5.474410386	5.125307836
YLR287C-A	13.38510565	13.23175078	13.43250828	13.47225789	13.41904449	13.4654895	13.67654481	13.49284798	13.12946422	13.30505764	13.61024715	13.50574686
YLR288C	7.015922295	7.14122127	7.353787932	6.565595587	6.83014242	6.635114145	7.739449544	7.448833243	6.703740466	6.888051115	7.568723148	7.2768759
YLR289W	5.628964039	5.609629393	5.584608534	5.05506381	5.001714629	4.600441143	5.661056863	5.257155779	4.883664191	4.954730816	5.035797175	4.89416172
YLR290C	8.241387805	8.694258037	8.264064435	6.724339401	5.391511767	7.72112791	9.119342654	8.938706919	6.347448445	7.102852957	5.608484805	7.570365213
YLR291C	8.015247	8.679501353	8.838040421	9.39195733	9.682334244	9.410503842	8.294600468	8.128626183	7.082648565	7.485004895	9.032090307	8.408018728
YLR292C	6.864907361	7.533493834	7.718018013	8.059809202	8.55237258	8.711332507	7.604538488	7.483635317	7.668491765	8.189157168	8.998881246	8.648168355
YLR293C	10.49954372	10.9781312	11.31751316	12.11065746	11.78598037	11.57289012	10.39715972	10.45693442	10.76065879	11.25124852	11.17516953	11.05833468
YLR253W	7.894887452	7.705919994	7.579365799	6.448012786	7.021043696	6.870091232	7.757208763	7.63717293	7.114129099	7.040769348	7.26918714	7.137478533
YLR254C	8.325148692	8.528454219	8.476028328	7.756273368	8.318626899	8.085531594	8.824150211	8.92189031	7.940894664	8.14626747	8.587480578	8.668466431
YLR256W	9.271250246	9.074174865	9.137724286	9.743965678	10.16545948	9.758472358	7.756346392	8.110087494	8.202816747	8.270517737	9.601880242	9.065145449
YLR257W	8.616581433	9.303895892	9.775901291	8.412566387	9.691788046	7.954197856	8.838906213	9.708484199	7.872192196	8.224819975	8.800021586	8.755012623
YLR258W	8.592324652	8.525896605	8.082518524	4.826609287	4.550183568	6.56119976	8.955437115	8.725055916	6.897129909	7.199667048	5.496151047	7.410838068
YLR259C	12.11910639	11.99497377	12.25563064	10.83191254	10.56143944	10.71939747	11.71686661	11.92853162	12.21140658	12.01677838	11.06049563	11.30233586
YLR260W	6.384076469	6.348518087	6.683445495	5.185172381	5.917140168	6.347860777	6.615321416	6.171388075	5.854246269	6.304032816	7.160111625	7.031848964
YLR262C	4.158926939	4.111674376	4.354936371	3.872824688	4.447737005	4.409342607	4.547260027	4.434778026	4.154627172	4.352072851	4.902327323	4.917643307
YLR262C-A	8.901242309	9.004056645	9.320730156	10.3022636	9.839711787	9.4637225	9.523007241	9.316517273	9.202314648	9.787626415	10.17589847	9.707065327
YLR263W	2.287986116	2.282424229	2.37038961	3.33607946	2.760538681	2.535851773	2.367145129	2.341080757	2.413494493	2.721107706	2.595596509	2.372107723
YLR264W	11.22587841	11.23381018	11.85283694	12.64808164	12.65297848	12.8545303	12.06298429	10.71477482	11.41797014	11.69492384	12.44452734	12.20073846
YLR265C	3.613328227	3.791916781	3.271939319	3.144701123	3.071770745	3.35489123	4.882840765	3.920208514	3.330425784	3.812504709	3.515833934	4.275841249
YLR266C	2.17266393	2.170693698	2.13548965	2.247839675	2.236172017	2.216612051	2.313069703	2.149760306	2.195854693	2.225801032	2.621567633	2.375312693
YLR267W	3.223851048	3.685429742	2.1531557	2.248670149	2.185612986	2.170865201	4.159022947	2.984135656	2.191001938	2.213438854	2.176943654	2.137216786
YLR268W	6.424367164	6.557080557	6.452573886	5.809712505	6.71843276	6.873743959	6.87057938	6.718080519	6.113730639	6.33729862	6.815482627	6.65079833
YLR270W	8.416163988	8.623069859	7.708808902	3.00175222	3.581593346	6.703416238	8.572849063	8.522266222	6.287092657	6.084433859	4.969538061	8.352098564
YLR271W	3.43687218	3.725257292	4.067468278	3.046599996	2.818416109	3.065533349	3.938420403	4.042952847	3.984926961	4.602297926	3.031645498	3.244311998
YLR272C	7.869478009	7.82515444	7.540702828	7.770523218	7.992611066	7.940719646	8.274182321	8.029537074	7.811243737	7.920273427	8.289059502	8.397150962
YLR273C	6.959642223	6.787573745	5.881541325	3.447625383	3.701606491	5.35984735	7.416901261	6.990834169	5.352687617	5.194726513	4.915072388	5.661775778
YLR233C	4.578530606	4.68072571	3.790397537	4.199408281	4.289716554	4.512446781	4.906958341	4.087927357	4.174522232	4.286389888	4.616437768	5.056064312
YLR234W	2.481676238	3.095407343	2.186059529	2.294081847	2.227594526	2.216738695	2.178232611	2.229907761	2.228676488	2.241385818	2.180970186	2.179189303
YLR237W	9.904615848	9.816554371	11.46471982	12.93100651	11.59728338	11.10277589	9.497652129	8.993741397	10.82768584	11.17094177	10.8274223	10.06094752
YLR238W	6.450940478	6.01489805	6.589017327	6.912670549	6.638786788	6.578120459	6.817991228	6.47070557	6.26031567	6.282676372	6.850134979	6.761327977
YLR239C	7.829041051	8.025607819	7.645132979	6.077958999	6.897311545	7.499276279	7.922813252	7.612903914	6.926702994	7.366816662	7.141699884	7.504913466
YLR240W	8.255835008	8.299082082	7.91781497	6.675064446	7.233115566	8.101987422	8.37388525	8.297946447	7.595518377	7.755395917	7.683771906	8.135896927
YLR241W	8.735439702	8.620525458	8.336802983	6.650015191	8.065563582	8.50133532	8.925118586	8.762541777	8.212617392	8.180640672	8.257466755	8.797428163
YLR242C	3.355156294	3.483682002	3.501146178	3.702235262	3.935636374	3.785119541	3.634557981	3.39848945	3.029547119	2.876134655	3.91906344	3.709318662
YLR243W	8.624954166	9.037596204	9.829677031	10.35236453	9.990891432	9.371084792	8.63815065	8.427252863	8.338387896	8.100767233	9.067043824	8.598984948
YLR244C	8.3463041	8.873322729	9.845767193	10.47427585	10.37609588	10.05329726	8.170941693	8.097444933	7.730347311	7.858481969	8.94191288	8.920606816
YLR245C	6.26285815	6.424299511	7.251152264	7.049806644	6.328626374	6.239564501	5.469768906	5.964892545	6.144820843	5.609983688	4.421485771	5.976503584
YLR246W	7.405874748	7.29188681	7.276798247	7.036598477	7.428509898	7.535848323	8.012720122	7.437587348	6.641497268	7.331506809	8.105481062	8.310999561
YLR247C	7.670955441	7.35442877	7.169187688	6.385606035	7.291117596	6.758898777	8.14313755	7.861611806	6.340086086	6.995557367	8.373815122	7.823673316
YLR248W	9.368416327	9.641360188	8.977100988	8.936284666	9.04426576	8.931256215	9.870743472	9.72675949	9.162574463	9.357688212	9.500117072	9.660297327
YLR249W	13.5116742	13.45293804	14.00376264	14.23597938	14.02914049	13.83573323	13.07068314	13.05227532	13.87402599	13.6298174	13.94026257	13.31578992
YLR250W	6.115895582	6.219187932	6.018393832	5.696481095	6.116078755	6.012062677	6.696258826	6.589420591	5.701734851	5.410903845	6.586201127	6.637114961
YLR251W	6.444384688	6.631804762	5.462001693	4.325199708	4.023486947	4.273515789	7.275494301	7.335930448	5.656538619	5.284717062	4.13382004	5.659360725
YLR209C	9.108845006	9.223218353	9.021822005	8.011344991	9.054366256	9.325854866	8.978995353	9.023248533	8.606958106	8.450898279	9.332936475	9.621157274
YLR210W	5.427904761	5.085440979	5.67587979	5.788229272	6.588768293	6.216641979	5.829900798	4.977535335	5.259147072	5.36560392	6.484082815	6.387977607
YLR211C	6.376242585	6.280051666	6.444673171	5.050447839	5.067436977	6.042946022	6.619085724	6.24072098	6.210668328	5.928766013	5.757316227	6.284947892
YLR212C	7.896534904	7.749595519	7.20630049	6.04761707	7.38927667	8.307089366	8.224689878	8.017738921	7.261148576	7.193023963	8.365015191	8.946984548
YLR213C	2.760951046	2.655899604	3.03130548	2.935138537	2.862847306	2.860315558	2.832612759	2.722961062	2.613964121	2.853612811	3.030639871	3.194906073
YLR214W	6.815551774	6.52201746	7.354219423	6.637146168	6.208637273	4.862039281	6.471874167	6.227773582	6.179619961	7.043569377	6.940240218	5.750109446
YLR215C	7.005115254	7.128789779	7.842584319	8.051387092	7.951596048	7.350563047	7.675762946	7.244406596	5.996068663	7.167194511	8.419932162	7.738035786
YLR216C	10.12962934	10.20848163	10.45497292	9.122039438	7.850730377	8.971721259	10.42744642	10.59679062	11.51891095	11.55928394	8.538586268	9.195546845
YLR218C	7.624027297	7.107410872	6.574345869	4.088320501	4.127323119	4.889843934	8.299091564	7.817505254	5.986391545	5.455142292	4.173936378	6.068617763
YLR219W	9.693429421	9.533562396	8.619179302	6.450996085	7.158081528	7.712451514	9.63117481	9.427065515	7.765489862	7.898252882	7.508436359	8.318915211
YLR220W	8.557605014	8.40611067	8.486100284	7.235453901	7.677665414	7.999933495	9.15330989	9.131292833	8.565556198	8.560186324	9.053253369	8.735184649
YLR221C	7.083250938	7.082393328	8.208237626	9.358269279	9.080664963	8.21143674	7.533991911	7.123070757	7.707878505	7.416753175	9.115018068	8.45244167
YLR222C	8.860643856	8.759260548	10.33509648	11.33123218	10.77114041	9.877221848	8.347626074	7.964776917	8.399645257	8.236648815	9.865490445	8.877674162
YLR223C	8.032541074	8.220717821	10.54962212	10.67674447	9.111724642	8.319746262	7.405537807	7.702855217	8.836009826	8.809178244	8.484495578	7.904366073
YLR224W	8.043979674	8.576875952	9.552067708	8.865968625	8.484916579	7.963657438	8.384371534	8.651746086	9.066563493	8.62578971	8.674858426	8.433978793
YLR225C	6.625225972	6.785542537	6.976513442	5.948248732	6.205969956	6.321876716	7.063591014	7.002872631	6.779103917	6.869416453	7.800004453	7.484632855
YLR226W	7.087086306	8.160483898	9.255497624	9.16074325	8.024884908	7.648409539	7.441209469	7.429526129	8.475718034	7.807060748	8.431140287	7.443337048
YLR227C	5.834802297	5.894752911	5.949430396	6.104334304	7.580438837	5.990601662	6.980923852	6.341945235	5.514572277	6.183798242	8.376232391	6.705800106
YLR228C	8.298896837	8.178205833	7.625183976	9.485186477	10.01680962	9.174837956	8.499840892	8.216329864	7.561090285	7.945823698	9.778749988	7.949539802
YLR229C	10.36758948	10.47978824	10.61751517	10.27634804	10.63223509	10.67055019	10.81332388	10.82109184	10.15280836	9.963365618	11.02264617	10.99549203
YLR231C	8.627152304	8.821600206	8.621355238	6.737876056	7.963013718	8.766795785	9.09262569	9.218868441	8.05193782	8.926116816	9.118169253	9.81926044
YLR189C	7.470596953	7.100481583	7.135658692	5.878706755	6.697634662	6.763830614	7.727396175	7.432274274	6.866026123	6.549456848	7.208845897	7.407079013
YLR190W	7.947069511	8.132405072	8.054765356	6.742985616	7.436892472	6.603397652	8.280747988	8.339451394	8.232849499	7.965414351	8.48563381	7.836367281
YLR191W	7.326335254	6.744758016	6.700332153	5.858970409	6.492266179	6.063054653	7.235256864	6.921608258	6.024735012	6.348552555	7.181013446	6.247525865
YLR192C	10.11064344	9.872693194	10.30492449	10.93175265	11.30784964	11.11527553	9.892438359	9.861631899	9.716546765	9.584796601	10.62975822	10.93409485
YLR193C	8.205752356	8.040383418	7.783998346	6.703097221	6.917147041	6.821128329	7.47717859	7.518018336	5.705096356	5.914892875	6.612816492	6.757155457
YLR194C	8.473844044	9.971015953	9.01917249	7.181028045	7.713466509	8.498624148	8.89914487	10.73424598	8.773743172	8.647711069	9.007649421	8.642126119
YLR195C	7.514363658	7.669329604	7.956029509	7.344810224	7.69811502	7.896403001	7.773977693	7.630733513	7.047276707	7.190970854	8.001284171	7.950388917
YLR196W	8.701964944	9.049522775	10.48883907	11.62677149	11.02959724	10.1038546	8.855062907	8.530434353	9.239776389	9.621412604	10.71506406	9.560096551
YLR197W	8.140998172	8.790588464	10.14108872	11.24808428	10.9625355	10.05792222	8.148478254	7.816462273	8.228386494	8.46683425	9.907003495	8.853693696
YLR199C	9.154437561	9.526486826	9.358225073	8.747717494	8.968254904	9.269568391	9.402392812	9.374164134	9.229834671	9.705763316	9.582736144	9.440513478
YLR200W	5.568884518	5.891239281	6.419152007	5.961379984	5.754649921	6.218081009	6.398873345	6.021185924	5.631158084	6.539829248	6.004176844	6.010621532
YLR201C	9.021979862	9.339037129	8.857259197	6.304794748	7.404922102	8.329062294	9.699735357	9.797393189	7.69269357	8.532094688	8.129113784	9.093339349
YLR203C	9.741926272	9.511289849	8.695986954	8.148355796	8.72438956	8.852072099	9.337671094	8.874395911	8.312252858	8.458567639	8.762283034	8.871660229
YLR204W	10.44407677	10.24770405	9.467162207	7.665795604	8.354724541	8.60615839	10.69904414	10.38884756	9.164608812	9.361501485	8.984738688	9.066402964
YLR205C	7.915904562	7.648288781	5.516308554	4.352826519	3.970085226	3.950496845	7.232099662	7.320407547	5.876421975	5.505278096	5.455198869	4.706887367
YLR206W	8.846929343	8.309183798	7.287294105	6.476747734	7.398671577	7.878206054	8.769552883	8.442578992	7.504075826	7.530388969	7.470085468	8.122576639
YLR207W	7.542814881	7.181695603	7.006319119	5.474969905	6.468599853	7.163759495	7.201189937	7.289378064	6.717761914	7.015127356	6.675770593	6.917355624
YLR208W	9.658520329	9.70250185	9.574991909	8.887905251	9.481665694	9.873871426	9.591984527	9.556556584	9.273374782	9.307658804	9.494768838	9.759442641
YLR167W	13.03344514	13.1512536	13.17137984	13.69070893	13.50916732	13.50220671	12.99439868	13.0093231	12.97038426	13.35096027	13.26451135	13.2355943
YLR168C	8.80988655	7.549079275	6.5766653	4.789119413	5.421153856	5.414360877	9.50033543	7.648263281	5.78509109	6.51069594	6.685506016	6.502941767
YLR170C	6.58675112	6.568327412	6.452369919	5.931939345	6.322184514	6.69130826	7.236835184	6.73987715	6.580407058	6.835706211	7.058160103	6.829921658
YLR172C	9.780156475	9.954176923	9.826319195	10.32921766	10.14477537	9.731586345	9.767272308	9.653896449	9.134182109	9.187701983	9.5550822	9.253629763
YLR173W	5.00641829	4.850401636	4.469866655	3.426195137	3.382557657	3.644962021	3.953832736	4.211461955	3.484391794	3.609262562	3.138740023	3.164467358
YLR174W	11.52405723	11.40184054	10.64105701	5.802782884	5.522960154	4.780459855	11.66029937	11.675344	8.059647098	8.408206537	5.208193319	5.137467997
YLR175W	9.3993513	9.605450355	10.65545741	11.36593625	11.00723614	10.39229452	8.63251884	8.749649215	9.560159524	9.593995282	9.912746588	9.412507298
YLR176C	5.765446164	5.248427146	5.246760377	6.542447372	6.839661881	6.378000581	5.942073552	5.619030099	5.307414766	5.80233526	6.630582112	6.135122061
YLR177W	7.684373956	7.283533563	6.16378576	7.436087881	8.285181562	8.39920598	7.862865098	7.562589918	6.179486597	6.31689209	8.214450672	8.419948042
YLR178C	10.95303816	10.93958862	10.04505105	6.873502858	7.47775519	7.901621195	10.89867874	10.7937178	8.315994675	8.493496058	7.506512212	9.083259375
YLR179C	9.209672703	9.275520117	9.935837685	11.55884074	10.93669538	11.21286402	9.783572094	9.42810022	10.32071887	10.0884065	11.03524427	11.23359282
YLR180W	10.64788687	10.72158296	11.97398962	12.7230405	12.2931575	11.68705825	9.991912206	10.17475659	11.45196977	11.25503983	11.5398985	11.06148327
YLR181C	7.757525075	7.76269196	7.584777272	5.351104242	6.721588538	7.611726787	8.055286056	7.868235873	6.716896522	6.926622749	6.412353406	7.698053996
YLR182W	7.892978689	7.397100031	7.280029777	6.840425694	7.689295619	7.745192103	7.930417508	7.753459825	6.073344425	6.823055556	7.596655371	7.775231971
YLR183C	5.713689439	5.459082636	4.470639948	3.639570372	3.987960187	6.610268129	6.347395691	5.763654557	3.603901053	4.622805441	5.232203284	7.417679559
YLR185W	12.4758348	12.24367504	12.6190381	12.97000786	13.03643012	12.9783595	12.6176504	12.48423589	12.51500974	12.78632405	12.91854871	12.79764128
YLR186W	8.905348026	8.879029341	10.05470266	11.00057187	11.04190932	10.3765278	8.357639022	8.620974301	9.191521138	7.118622362	9.648257314	9.660833951
YLR187W	7.438377263	7.008029592	6.840996021	6.946882196	7.613181922	7.262560158	6.643376024	6.650171375	6.351563404	5.837532253	6.89559404	6.948235882
YLR188W	9.712900603	9.695773047	9.533745996	8.730764189	9.636783213	9.957997879	9.500370827	9.362087594	9.269685115	9.00550796	10.0097767	10.06563736
YLR141W	6.007951786	6.207844397	6.316656331	6.339135616	6.382690877	6.670007371	5.739961379	5.757211346	5.856035451	5.408868385	5.609385644	6.054087592
YLR142W	7.884030574	8.454075181	7.727987207	7.080966082	8.225653473	5.659281158	7.251638005	8.203926271	7.236720784	6.804980262	9.24743817	8.203963072
YLR143W	5.650359129	5.677203996	6.205327611	6.955094176	6.912193843	6.777030822	5.70908584	5.502868755	5.860064826	6.058659824	6.640480478	6.24220812
YLR144C	6.733354945	6.776660676	6.839507747	6.860496492	7.024201478	7.003767565	7.24950867	7.088048402	6.345727907	6.619771444	7.248165748	7.173514634
YLR145W	3.971505734	4.01110823	4.845617201	4.566819696	4.562040994	3.82452313	4.692168351	4.243150328	4.064080889	4.924563398	5.30393076	4.867291188
YLR146C	5.39058703	5.41235693	6.055850125	7.067173535	6.640964706	6.274575042	5.862092037	5.265843343	3.759550015	5.349989171	6.464232338	6.152353337
YLR147C	8.037978778	8.134895143	8.552361672	8.552330179	8.477835196	8.128067264	8.690013967	8.387254495	6.1481974	8.203524225	9.143882674	8.486712236
YLR148W	3.076500788	3.080399725	2.942026911	2.888912949	3.181852994	3.275484916	3.293599854	3.237746237	2.743747602	2.805632174	3.114133243	3.291618216
YLR149C	7.40622312	7.038441699	5.204359042	2.247839675	2.185612986	2.170865201	7.270379522	7.175289269	4.336134243	2.438375465	2.164992634	2.952326562
YLR150W	12.25395911	12.16797533	12.28631889	12.57529009	12.85535438	12.73667151	11.78535201	11.47629528	11.58057322	11.26835786	12.18783374	12.08402193
YLR151C	6.535428244	5.680266229	3.578834369	3.101554323	2.959081042	3.841741819	7.084788719	6.609785359	4.339169408	3.609020528	3.474746914	5.368546514
YLR152C	9.036771847	8.389148763	7.23452163	5.821607045	6.145845339	6.149060538	9.12556421	8.658663069	6.979596648	7.072912069	7.414279672	7.143278483
YLR153C	12.37299019	12.31038269	11.8383648	8.348257362	10.08691333	10.8208626	11.83350092	11.81909182	10.45592309	10.13736143	10.50264601	11.33912845
YLR154C	8.124622678	7.880429408	7.38500386	4.582458922	6.228709248	7.747910095	9.051419076	8.665340854	7.372993519	7.540710597	8.026959796	8.398115607
YLR155C	11.35825213	11.32357227	11.42069204	10.57897084	10.55111292	10.81884349	11.71542671	11.68773046	11.30952898	11.21989286	11.26547023	11.25702672
YLR156W	4.809828494	4.548488396	4.184272104	4.399769602	4.493877629	4.345440153	4.853083346	4.876715025	4.339877781	3.982975298	5.594701415	5.777392132
YLR162W	4.786884993	4.778300118	4.846720849	5.538815482	4.876934331	4.822438196	4.761980147	4.766934491	4.79034974	4.70497585	5.115046062	5.071021631
YLR163C	8.52391917	8.509143138	8.20903406	7.500512207	7.486783596	7.255558971	8.707181261	8.374904815	7.08026152	7.679811418	8.188733684	7.964977965
YLR164W	6.332902066	6.055272778	5.000136584	4.612068019	5.193353761	5.216363932	7.128412491	6.571296465	5.159267278	5.225829311	5.549621995	5.262435968
YLR165C	4.104557458	4.426199538	4.425832097	3.467194367	3.811129534	4.013345578	4.800933394	4.578185742	4.005125546	4.60660895	4.708500542	4.596804288
YLR166C	6.226124357	6.477732707	6.495393585	4.58959141	6.602001841	6.640456928	7.193252287	6.563997682	5.57906735	5.84893357	7.069840288	7.004377411
YLR119W	6.092135352	6.430267948	6.410288257	4.887849053	6.161632275	6.69046737	6.957894764	6.791231947	6.590178423	6.185392398	6.694469353	7.371661132
YLR120C	9.845139664	10.81742502	10.77531535	7.238560287	8.162067835	9.004305816	8.944092704	10.39634842	8.679686044	7.704050595	7.325223776	8.413671672
YLR121C	7.119941948	8.24204863	8.463289922	6.512712736	6.251496238	7.237785146	6.664799263	7.667794817	7.363997715	7.083695293	6.211463514	6.71780263
YLR125W	3.785685142	3.80050159	3.621109131	3.916452429	3.631894303	3.629527751	3.691306912	3.802328037	3.653123168	3.171983742	3.69079066	3.515706147
YLR126C	6.168287226	6.239025498	5.811840143	5.165231035	6.352789754	6.449032316	6.342461621	5.760763141	5.390830452	5.522192789	6.579733175	6.374679696
YLR127C	3.237757587	3.094564589	3.148638965	3.200927173	3.301371492	3.013256797	3.154926763	2.833719956	2.833021925	3.324215023	3.569742477	3.288824463
YLR128W	6.999157677	7.449283275	7.418149443	5.294210034	5.410089985	6.522005445	7.679436475	7.352756643	6.312393945	6.90630975	6.642554077	7.121716991
YLR129W	6.61827862	6.772578861	8.39104489	9.030153019	8.721194231	7.965258127	6.422071685	6.181708501	5.690887991	6.376979394	7.279268228	6.675332051
YLR130C	7.180141423	7.729704529	8.653895986	9.086732457	9.881870407	9.274863521	6.749592331	6.76914788	6.878805287	7.515396954	8.284882572	8.029746744
YLR131C	7.816508355	7.453056394	6.246254495	7.51972691	8.019737839	6.996982812	7.75535916	7.68081097	6.757190685	7.369407083	8.245997279	7.677563377
YLR132C	6.49342295	6.509972007	5.389410673	4.248546083	4.120054954	4.841736698	6.005221928	5.907453328	4.660966542	4.833577798	4.365992532	4.433368849
YLR133W	8.693716303	8.86474062	8.011363363	4.42194882	5.418314373	6.992430385	8.161729905	8.386686567	6.672295882	6.833829419	6.490271361	7.215563537
YLR134W	7.438817603	7.747191343	10.69852211	13.6246876	13.18214634	7.912441037	7.440481483	7.316663662	9.911607595	10.20628676	11.54223323	7.893318863
YLR135W	5.081778311	5.171384676	4.863289616	5.237353463	5.481522891	5.225754675	5.281537296	5.110566594	5.092972812	5.362757456	6.23406664	5.525066723
YLR136C	4.058476411	4.450296237	3.432967773	5.062849287	7.106534695	4.107268176	4.663757428	4.069220511	3.883616923	3.688874438	2.957671854	3.460668732
YLR137W	6.027305052	5.911213185	4.708872731	4.294182076	6.402157564	6.29187494	6.229582428	5.676846921	4.680027118	4.570731823	5.531898183	6.182842308
YLR138W	7.629404023	7.487894887	7.660030116	8.34645566	8.376796796	7.639566358	7.866941949	7.783287511	7.526672138	7.975794875	8.407704531	7.864792788
YLR139C	4.290475958	3.423315962	3.524394714	5.100694596	4.947546281	4.758217388	3.919570805	3.036496693	3.401046759	3.40166264	4.050575312	4.006899136
YLR096W	7.852953921	7.718935554	8.235201596	8.751872091	8.579953004	8.388446849	7.777962003	7.638803305	6.846144983	7.41113776	7.943268064	7.823767715
YLR097C	5.699161133	6.182825046	5.950989913	5.024627927	5.850416031	5.806018428	6.304332151	6.261601949	5.809516465	6.052104205	6.430152997	6.198734282
YLR098C	5.683203723	5.552980343	5.702073619	5.917630891	5.951052419	5.956326943	6.002909185	5.881988639	5.879488602	6.278403177	6.243214462	6.0892713
